"Well","Content","OD405","pct_B_B0","predicted_conc","result_flag"
"A10","Exp4 C10 L0 (1/1)",2.665,104.516938519448,0.0493453506278369,"OK"
"A11","Exp3 DMSO 0 (1/1)",2.298,89.1677122542869,0.131735272151274,"OK"
"A12","",2.794,109.9121706399,0.0164209542035759,"OK"
"A4","Exp3 C10 B0 (1/1)",2.473,96.4868255959849,0.0922316125367659,"OK"
"A5","Exp3 C0 L0 (1/1)",2.491,97.2396486825596,0.0882510300844644,"OK"
"A6","Exp3 C10 L0 (1/1)",2.462,96.0267670430782,0.0946677549046398,"OK"
"A7","Exp4 C0 B0 (1/1)",2.487,97.0723546633208,0.0891351041366049,"OK"
"A8","Exp4 C10 B0 (1/1)",2.784,109.493935591803,0.019393219395643,"OK"
"A9","Exp4 C0 L0 (1/1)",2.614,102.383939774153,0.0609622566325732,"OK"
"B10","Exp4 C10 L1 (1/1)",1.95,74.6131325805102,0.220900106468738,"OK"
"B11","Exp3 DMSO 1 (1/1)",2.423,94.3956503554998,0.103337967381351,"OK"
"B12","",2.648,103.805938937683,0.0532565454622661,"OK"
"B4","Exp3 C10 B1 (1/1)",2.429,94.646591384358,0.10200004542925,"OK"
"B5","Exp3 C0 L1 (1/1)",2.443,95.2321204516939,0.0988843581151494,"OK"
"B6","Exp3 C10 L1 (1/1)",2.101,80.9284818067754,0.179803529922043,"OK"
"B7","Exp4 C0 B1 (1/1)",2.187,84.5253032204099,0.158187191899406,"OK"
"B8","Exp4 C10 B1 (1/1)",2.214,85.6545378502719,0.151617825362181,"OK"
"B9","Exp4 C0 L1 (1/1)",2.294,89.0004182350481,0.132664994981021,"OK"
"C10","Exp4 C10 L10 (1/1)",2.053,78.9209535759097,0.192389597277582,"OK"
"C11","Exp3 DMSO 10 (1/1)",2.41,93.8519447929737,0.106242813681605,"OK"
"C12","",2.571,100.585529067336,0.0705617636415689,"OK"
"C4","Exp3 C10 B10 (1/1)",2.14,82.5595984943538,0.169862167631886,"OK"
"C5","Exp3 C0 L10 (1/1)",2.054,78.9627770807194,0.192123181871408,"OK"
"C6","Exp3 C10 L10 (1/1)",1.853,70.5562526139691,0.249984162959421,"OK"
"C7","Exp4 C0 B10 (1/1)",1.935,73.9857800083647,0.225244328885655,"OK"
"C8","Exp4 C10 B10 (1/1)",2.021,77.5826014219992,0.201015036993473,"OK"
"C9","Exp4 C0 L10 (1/1)",2.088,80.3847762442493,0.183172554188691,"OK"
"D10","Exp4 C10 L100 (1/1)",1.688,63.6553743203681,0.30588134261198,"OK"
"D11","Exp3 DMSO 100 (1/1)",2.291,88.874947720619,0.133363312111001,"OK"
"D12","",2.532,98.9544123797574,0.0791951271280089,"OK"
"D4","Exp3 C10 B100 (1/1)",1.961,75.073191133417,0.217747407348045,"OK"
"D5","Exp3 C0 L100 (1/1)",2.003,76.8297783354245,0.205955380192952,"OK"
"D6","Exp3 C10 L100 (1/1)",1.495,55.5834378920954,0.385551100575674,"OK"
"D7","Exp4 C0 B100 (1/1)",1.973,75.5750731911334,0.214339179041196,"OK"
"D8","Exp4 C10 B100 (1/1)",1.92,73.3584274362192,0.229642068164505,"OK"
"D9","Exp4 C0 L100 (1/1)",2.046,78.6281890422417,0.194259720451011,"OK"
"E10","Exp4 C100 L0 (1/1)",2.167,83.6888331242158,0.163116589976525,"OK"
"E11","",2.362,91.8444165621079,0.117053548401613,"OK"
"E12","",0.053,-4.72605604349644,NA,"> 10"
"E4","Exp3 C100 B0 (1/1)",2.038,78.2936010037641,0.196408309920677,"OK"
"E5","Exp3 C1 L0 (1/1)",1.889,72.0618987871184,0.238907606573079,"OK"
"E6","Exp3 C100 L0 (1/1)",1.932,73.8603094939356,0.226119542229718,"OK"
"E7","Exp4 C1 B0 (1/1)",1.868,71.1836051861146,0.2453260961001,"OK"
